MUNIC_RES,ANO,POPULACAO
2205904,1992,6857
2205953,1992,4857
2206001,1992,4480
2206100,1992,12009
2206209,1992,27721
2206308,1992,1247
2206407,1992,11045
2206506,1992,6367
2206605,1992,9533
2206704,1992,7855
2206803,1992,6106
2206902,1992,7170
2207009,1992,37511
2207207,1992,14116
2207306,1992,5474
2207405,1992,4452
2207504,1992,11540
2207603,1992,12797
2207702,1992,125435
2207751,1992,4523
2207777,1992,5441
2207801,1992,27105
2207900,1992,44210
2208007,1992,75229
2208106,1992,10649
2208205,1992,16271
2208304,1992,25516
2208403,1992,58788
2208502,1992,14433
2208601,1992,2752
2208650,1992,6489
2208700,1992,6970
2208809,1992,16641
2208908,1992,5824
2209005,1992,9853
2209104,1992,9722
2209153,1992,3069
2209203,1992,5694
2209302,1992,4470
2209351,1992,4119
2209377,1992,7681
2209401,1992,5041
2209500,1992,5635
2209559,1992,3840
2209609,1992,5507
2209708,1992,6657
2209807,1992,5275
2209856,1992,6880
2209906,1992,7255
2210003,1992,34199
2210052,1992,4025
2210102,1992,5958
2210201,1992,6601
2210300,1992,5315
2210359,1992,4058
2210409,1992,24878
2210508,1992,11595
2210607,1992,23684
2210656,1992,8675
2210706,1992,22428
2210805,1992,13577
2210904,1992,5295
2211001,1992,613013
2211100,1992,36027
2211209,1992,16021
2211308,1992,20696
2211357,1992,4150
2211407,1992,8152
2300101,1992,8015
2300150,1992,10271
2300200,1992,46232
2300309,1992,49045
2300408,1992,13147
2300507,1992,8567
2300606,1992,4838
2300705,1992,13590
2300754,1992,25219
2300804,1992,5056
2300903,1992,9552
2301000,1992,46994
2301109,1992,51926
2301208,1992,22618
2301257,1992,9376
2301307,1992,17633
2301406,1992,10509
2301505,1992,7399
2301604,1992,19557
2301703,1992,24332
2301802,1992,5423
2301851,1992,14288
2301901,1992,39078
2301950,1992,14953
2302008,1992,19428
2302057,1992,13104
2302107,1992,27688
2302206,1992,36823
2302305,1992,26370
2302404,1992,48022
2302503,1992,34289
2302602,1992,51880
2302701,1992,23252
2302800,1992,61771
2302909,1992,15585
2303006,1992,12403
2303105,1992,17686
2303204,1992,21240
2303303,1992,17477
2303402,1992,13809
2303501,1992,47271
2303600,1992,12088
2303659,1992,8834
2303709,1992,169708
2303808,1992,22969
2303907,1992,10667
2303931,1992,10805
2303956,1992,15602
2304004,1992,17656
2304103,1992,66765
2304202,1992,90968
2304236,1992,15024
2304251,1992,14200
2304269,1992,7952
2304277,1992,6394
2304285,1992,20709
2304301,1992,17660
2304350,1992,15335
2304400,1992,1796116
2304459,1992,9792
2304509,1992,9730
2304608,1992,5650
2304657,1992,14258
2304707,1992,41554
2304806,1992,4775
2304905,1992,8135
2304954,1992,17818
2305001,1992,30712
2305100,1992,5254
2305209,1992,17942
2305233,1992,18550
2305266,1992,11191
2305308,1992,20383
2305332,1992,8548
2305357,1992,13847
2305407,1992,60840
2305506,1992,76083
2305605,1992,23940
2305654,1992,10793
2305704,1992,11317
2305803,1992,35919
2305902,1992,35175
2306009,1992,13934
2306108,1992,17189
2306207,1992,5737
2306256,1992,23158
2306306,1992,33854
2306405,1992,77699
2306504,1992,12770
2306553,1992,25954
2306603,1992,13713
2306702,1992,17586
2306801,1992,7677
2306900,1992,32525
2307007,1992,25979
2307106,1992,23890
2307205,1992,6822
2307254,1992,5909
2307304,1992,175815
2307403,1992,21147
2307502,1992,30811
2307601,1992,42377
2307635,1992,12725
2307650,1992,164913
2307700,1992,72820
2307809,1992,21060
2307908,1992,6415
2308005,1992,23753
2308104,1992,37218
2308203,1992,10449
2308302,1992,24594
2308351,1992,12063
2308377,1992,9991
